Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1422978360,238.1,238.1,237.72,237.72,24.678074,5871.872608,237.9388525
1422978420,238.01,238.01,237.39,237.39,45.90163012,10904.0851,237.5533302
1422978480,237.39,237.39,236.3,236.3,31.43094392,7453.607641,237.1423417
1422978540,236.08,236.08,236.08,236.08,0.2818,66.527344,236.08
1422978600,236.39,236.56,236.11,236.12,6.828,1614.04887,236.3867707
1422978660,236.43,236.57,236.01,236.22,9.243,2185.05488,236.4010473
1422978720,236.08,236.22,236.08,236.22,0.7417,175.106944,236.0886396
1422978780,236.63,237,236.22,236.22,1.6215,383.5283,236.5268579
1422978840,236.37,236.92,236.37,236.91,0.1654,39.156082,236.7356832
1422978900,236.47,236.48,236.47,236.48,0.8143,192.558164,236.4707896
1422978960,236.84,236.94,236.84,236.94,0.705,167.035076,236.9291858
1422979020,236.6,236.89,236.51,236.89,0.1957,46.328557,236.7325345
1422979080,236.87,236.89,236.5,236.5,0.806,190.64586,236.5333251
1422979140,236.89,236.9,236.51,236.51,1.5057,356.483419,236.7559401
1422979200,236.89,236.92,236.69,236.92,6.9883,1655.389735,236.8801762
1422979260,236.69,237.01,236.62,236.95,7.1934,1704.04188,236.8896322
1422979320,236.92,238.54,236.68,238.54,9.083199,2161.002672,237.9120695
1422979380,237.94,238.12,237.69,237.8,20.80914,4952.550799,237.9988216
1422979440,237.87,238.7,237.87,238.52,3.775459,900.5341671,238.5230954
1422979500,238.45,238.74,238.31,238.48,18.361,4379.968568,238.5473867
1422979560,238.15,238.44,238.03,238.44,2.73842044,652.3431673,238.2187767
1422979620,238.43,238.54,237.96,238.54,4.4914,1070.847167,238.4216875
1422979680,238.13,238.13,238.11,238.11,0.036,8.57218,238.1161111
1422979740,238.11,238.11,238.11,238.11,0.3357,79.933527,238.11
1422979800,238.11,238.12,238.11,238.12,1.6983,404.382913,238.1104122
1422979860,238.12,238.41,237.86,237.96,5.562,1324.445107,238.1238955
1422979920,238.35,238.4,238.33,238.33,0.72,171.637075,238.3848264
1422979980,238.29,238.38,238,238.38,4.5364,1080.975358,238.289251
1422980040,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1422980100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1422980160,238.46,238.49,238.46,238.49,0.06,14.30854024,238.4756707
1422980220,238.49,238.7,238.43,238.5,24.69,5890.203651,238.566369
1422980280,238.43,238.96,238.42,238.96,11.44,2730.680463,238.6958447
1422980340,238.53,238.58,238.53,238.58,5.96,1421.82652,238.5614966
1422980400,238.5,238.68,238.5,238.68,11.1,2647.868253,238.5466895
1422980460,238.65,238.73,238.65,238.73,7.072,1688.061972,238.6965458
1422980520,238.73,238.73,238.65,238.65,11.089,2646.39708,238.650652
1422980580,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1422980640,238.53,238.65,237.65,238.65,6.95,1656.769086,238.3840411
1422980700,238.36,238.36,238.28,238.28,3.6292,864.767446,238.2804602
1422980760,238.14,240.07,238.08,238.13,384.042,91965.76168,239.4679792
1422980820,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1422980880,238.04,238.6,238.04,238.04,11.2096,2669.181321,238.1156617
1422980940,238.05,238.05,238.04,238.04,3.5818,852.64578,238.0495226
1422981000,238.01,238.01,238,238,0.0471,11.20983,238.0006369
1422981060,238.01,238.03,238.01,238.03,1.6641,396.094559,238.0232913
1422981120,238.01,238.01,238,238,4.7678,1134.76225,238.0054218
1422981180,238,239.65,238,238.11,117.6729,28127.43296,239.0306771
1422981240,238.15,238.15,238.14,238.14,0.8384,199.656686,238.1401312
1422981300,238.11,238.11,238.11,238.11,0.025,5.95275,238.11
1422981360,238.33,238.37,238.33,238.33,0.447,106.53445,238.3321029
1422981420,238.11,238.11,238.11,238.11,0.011,2.61921,238.11
1422981480,238.12,238.12,238.11,238.12,3.561,847.94521,238.1199691
1422981540,238.11,238.18,238.11,238.12,15.9668,3802.015276,238.1200539
1422981600,238.04,238.04,238.04,238.04,0.011,2.61844,238.04
1422981660,238.03,238.03,238,238,1.18682696,282.4656123,238.0006705
1422981720,238,238.01,238,238,136.9785,32600.88311,238.0000008
1422981780,238.01,238.01,238,238,2.9541,703.07613,238.0001117
1422981840,238.06,238.07,238,238,0.43,102.359181,238.044607
1422981900,238,238.01,238,238.01,2.78141663,661.9842759,238.0025591
